@relation whatever

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute class { abnormal , normal } 


@data
16255.16795 , 46.83971896 , 0.966637177 , 0.966637177 , 24283685.01 , -45803.78061 , 3.682999219 , 0.000901863 , 7.516601006 , 0.402133369 , 0.326174568 , 0.002866814 , 16282.82771 , 249.6132992 , 62436.5455 , 5.326923801 , 46.83971896 , 2.375658633 , -0.382721846 , 0.985536984 , 0.986237044 , 0.999319125 , abnormal 
13492.13118 , 53.48329872 , 0.987014093 , 0.987014093 , 200823591.4 , 12549.0787 , 4.357041645 , 0.000406809 , 8.277571032 , 0.367108735 , 0.288126719 , 0.001861915 , 13525.86075 , 214.1007094 , 51536.94066 , 5.88436415 , 53.48329872 , 2.550930948 , -0.407114827 , 0.992604811 , 0.983705147 , 0.999218275 , abnormal 
21892.82294 , 111.7551545 , 0.975951914 , 0.975951914 , 241290626.7 , 76078.78899 , 6.047070946 , 0.000360941 , 8.617995845 , 0.320064838 , 0.240194757 , 0.007852875 , 21953.21081 , 280.1795089 , 84401.90181 , 5.91793291 , 111.7551545 , 2.847782131 , -0.354572051 , 0.987573434 , 0.977819021 , 0.998416974 , abnormal 
7962.024327 , 24.42334218 , 0.98414117 , 0.98414117 , 30004550.98 , -6446.27833 , 2.913074697 , 0.001079547 , 7.36704999 , 0.434955217 , 0.362225635 , 0.004696709 , 7973.666748 , 169.7592104 , 30083.76229 , 5.352911508 , 24.42334218 , 2.184254529 , -0.422042978 , 0.990173835 , 0.988961116 , 0.999636368 , abnormal 
16109.78438 , 77.80039291 , 0.970776068 , 0.970776068 , 71902277.16 , -49810.75977 , 4.37163638 , 0.000560768 , 7.944364423 , 0.389174802 , 0.313705614 , 0.001927104 , 16156.62822 , 243.4553205 , 61791.01922 , 5.664290447 , 77.80039291 , 2.508685667 , -0.405238747 , 0.991053282 , 0.983919684 , 0.998891819 , abnormal 
3972.268126 , 40.65086542 , 0.961356652 , 0.961356652 , 18958507.5 , 114652.1726 , 2.871759589 , 0.002231721 , 6.861883126 , 0.495366204 , 0.433321537 , 0.009698772 , 3995.449835 , 117.7552787 , 14767.83015 , 5.04142742 , 40.65086542 , 2.109397727 , -0.431572501 , 0.988338399 , 0.98932439 , 0.99940094 , abnormal 
15746.47818 , 184.1663899 , 0.980246117 , 0.980246117 , 742462677.9 , 1473495.398 , 5.986472059 , 0.000574952 , 8.519832136 , 0.37177645 , 0.298649232 , 0.012832276 , 15868.12766 , 211.4643585 , 60655.18822 , 6.032412103 , 184.1663899 , 2.751991202 , -0.405925835 , 0.993374016 , 0.978761108 , 0.99758899 , abnormal 
20878.15999 , 707.5291409 , 0.826638097 , 0.826638097 , 154029830.1 , 40655.77236 , 15.18190879 , 0.000192601 , 9.123618637 , 0.227837802 , 0.159619754 , 0.001262045 , 21200.32756 , 277.0669578 , 81021.69827 , 5.83342769 , 707.5291409 , 3.691439272 , -0.236064918 , 0.955008429 , 0.948974609 , 0.990492745 , abnormal 
19730.07254 , 661.394365 , 0.907280257 , 0.907280257 , 397686063.8 , -154270.2845 , 13.15337174 , 0.000173824 , 9.116516571 , 0.253926565 , 0.183086026 , 0.002182073 , 20069.21443 , 256.8685575 , 76492.62058 , 6.08500302 , 661.394365 , 3.512544458 , -0.314150928 , 0.982725855 , 0.955964865 , 0.991654476 , abnormal 
14947.01617 , 63.39862647 , 0.912559533 , 0.912559533 , 11819841 , -67967.8213 , 4.846865176 , 0.001309507 , 7.295777562 , 0.356168552 , 0.277871541 , 0.00547037 , 14973.78141 , 241.7951191 , 57505.09614 , 4.901656437 , 63.39862647 , 2.649939382 , -0.276787607 , 0.950410219 , 0.981944759 , 0.999053091 , abnormal 
