SRE,LRE,GLN,RLN,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,class
0.063968104,20.07222677,1310.875601,3142.710314,4.32431075,0.338783469,327.2965596,0.02513958,17.9519564,6.245466368,6518.757174,abnormal
0.122272694,15.761769,10238.88891,19944.25054,12.88566452,0.30731493,327.0175091,0.04614556,50.0270809,4.544086536,5888.69158,abnormal
0.073800189,23.04279554,14542.71917,23353.28051,17.59285451,0.32154255,121.188212,0.029547237,6.368846873,6.747557347,3228.470672,abnormal
0.133970812,11.32052262,2363.2134,5069.759182,4.362094074,0.387849632,900.1645841,0.060976276,100.9375814,3.979372478,10191.84716,abnormal
0.077672929,19.32723723,1345.675887,2646.580415,4.554779825,0.337891287,234.5249575,0.031049935,15.09251017,6.137531858,4641.182034,abnormal
0.213465244,7.574701197,579.3496001,1427.690566,2.31226929,0.377270964,638.7459665,0.104288175,127.3270127,2.491995742,3967.407152,abnormal
0.152773455,19.88311282,7300.353991,6478.964373,11.3014606,0.412543135,246.4385865,0.072099328,62.27208471,7.410390766,3051.406681,abnormal
0.081609105,23.18057246,5605.537406,4378.649866,11.02774068,0.504794742,21.53216648,0.051625454,1.197181287,10.53485981,502.4279403,abnormal
0.12546272,21.08812419,3278.877975,2281.121305,8.243909129,0.479614797,28.91116474,0.072688926,2.394172677,9.140924188,708.2277747,abnormal
0.131051104,17.84978322,8866.559598,6196.044098,14.17350075,0.508318996,23.92428098,0.079843318,2.692758286,8.26996153,371.0802968,abnormal
0.114956912,15.29308751,1511.271592,1935.726696,5.071771177,0.433786575,81.78315947,0.064180624,5.739650073,6.05704338,1393.653553,abnormal
0.10323699,16.53148218,2524.901374,3865.264646,5.648382028,0.38669792,441.4368808,0.048361281,31.02346252,5.946150439,7400.259824,abnormal
0.107320691,23.87583791,2565.534056,2914.143249,6.410730122,0.378896962,202.7763865,0.063329465,23.75132278,8.032627369,3854.168244,abnormal
0.101569983,17.0937894,820.2037704,1556.785609,4.156047696,0.325933088,219.2022493,0.038330132,18.60164917,5.161694801,3676.68174,abnormal
0.05554001,26.62225278,2727.039057,3040.986242,7.431891642,0.467035109,44.17829774,0.033165495,1.49180002,10.88136023,1543.754273,abnormal
0.092134883,21.84567588,4500.420641,3453.852147,9.391015856,0.510315246,40.8667925,0.0563412,5.525618872,10.10662428,956.4474893,abnormal
0.107466832,17.55780047,4968.576813,5695.535567,10.19141708,0.434485233,38.63812642,0.057503358,2.955255413,6.811062367,713.9868887,abnormal
0.116954106,19.28359988,5449.822504,4229.444478,12.0823309,0.50670581,19.34259549,0.072738662,1.448686526,8.742639453,395.9846017,abnormal
0.11011867,19.06330462,4224.926652,3670.469085,9.042015141,0.480199592,55.34325884,0.065594837,9.418534903,8.105313841,675.1277737,abnormal
0.121743431,19.22357325,5608.747609,4006.571783,11.09293667,0.501260952,20.92398778,0.072077347,2.994342441,8.723983906,377.2348554,abnormal
0.10618401,20.26693303,2665.183278,2633.214034,7.44550616,0.433321264,63.82802216,0.062650678,2.800920771,7.352093321,1864.92982,abnormal
