@relation whatever

@attribute mean numeric
@attribute variance numeric
@attribute skewness numeric
@attribute kurtosis numeric
@attribute energy numeric
@attribute class { abnormal , normal } 


@data
4.430003372 , 0.583879861 , -0.278381765 , 3.325909697 , 0.373543941 , abnormal 
3.905555822 , 1.663058872 , 0.013450291 , 3.012474568 , 0.220592321 , abnormal 
4.82238758 , 1.855407156 , 0.082634737 , 2.875806714 , 0.212768027 , abnormal 
3.300622791 , 0.662322694 , -0.128002566 , 2.664640175 , 0.344160431 , abnormal 
4.31859568 , 1.104086503 , -0.109181932 , 2.717288439 , 0.263267989 , abnormal 
2.564678098 , 0.528066486 , 0.977942619 , 3.592043592 , 0.420161617 , abnormal 
3.8825316 , 3.649566083 , 0.599448867 , 2.250880359 , 0.171136991 , abnormal 
4.77386873 , 1.625078807 , -0.073507084 , 2.892119554 , 0.225752233 , abnormal 
4.495696342 , 2.720642223 , -0.130085802 , 2.162446527 , 0.164604825 , abnormal 
3.976941281 , 2.157608591 , 0.248332672 , 2.407598701 , 0.187105863 , abnormal 
3.927009407 , 0.921994528 , -0.031028783 , 3.079618048 , 0.294870655 , abnormal 
4.001869892 , 1.0136611 , 0.55165345 , 4.393330197 , 0.303550932 , abnormal 
4.529557594 , 2.662223189 , 0.120915636 , 2.410787774 , 0.172263911 , abnormal 
4.032022433 , 1.30701306 , 0.157152139 , 2.833792978 , 0.246044703 , abnormal 
5.420814383 , 1.20113147 , -0.37750901 , 3.200451295 , 0.259593502 , abnormal 
4.510312131 , 2.868326364 , 0.108810688 , 2.52375349 , 0.182449142 , abnormal 
4.158547855 , 1.340737165 , -0.118528539 , 3.229864851 , 0.257220089 , abnormal 
4.360435223 , 1.658064756 , -0.416821734 , 2.89875762 , 0.22263567 , abnormal 
4.161557686 , 2.08076065 , -0.031889268 , 2.500163151 , 0.197477385 , abnormal 
4.226573053 , 2.21664128 , 0.242648472 , 2.859917218 , 0.192693679 , abnormal 
4.839317332 , 1.791857649 , -0.477088063 , 3.100278678 , 0.232380691 , abnormal 
4.637239345 , 2.478108443 , 0.286604865 , 2.06936776 , 0.185789 , abnormal 
3.855340506 , 0.907506417 , -0.402220748 , 3.227266048 , 0.312813136 , abnormal 
4.189819235 , 1.203234734 , -0.000634034 , 3.447093344 , 0.265189514 , abnormal 
4.477276645 , 1.091288399 , -0.020785372 , 2.040027703 , 0.256999741 , abnormal 
4.299257502 , 1.699808849 , 0.206728645 , 2.122500989 , 0.21778671 , abnormal 
4.2137267 , 3.993955242 , 0.412191928 , 2.308596764 , 0.147795865 , abnormal 
5.033725319 , 3.635433451 , -0.161041071 , 1.884248634 , 0.147796013 , abnormal 
4.412101676 , 3.404937359 , -0.230733566 , 1.659774715 , 0.194908113 , abnormal 
3.653952411 , 1.396916247 , 0.8307767 , 3.789880078 , 0.291402022 , abnormal 
3.341592237 , 1.232739557 , 0.179022571 , 2.230300447 , 0.249204305 , abnormal 
3.233340438 , 1.720239651 , 0.136695935 , 1.995109137 , 0.225898509 , abnormal 
4.144227694 , 1.482822719 , 0.075334556 , 2.253842803 , 0.22155583 , abnormal 
