SRE,LRE,GLN,RLN,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,mean,variance,skewness,kurtosis,energy,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,class
0.063968104,20.07222677,1310.875601,3142.710314,4.32431075,0.338783469,327.2965596,0.02513958,17.9519564,6.245466368,6518.757174,4.430003372,0.583879861,-0.278381765,3.325909697,0.373543941,16255.16795,46.83971896,0.966637177,0.966637177,24283685.01,-45803.78061,3.682999219,0.000901863,7.516601006,0.402133369,0.326174568,0.002866814,16282.82771,249.6132992,62436.5455,5.326923801,46.83971896,2.375658633,-0.382721846,0.985536984,0.986237044,0.999319125,abnormal
0.122272694,15.761769,10238.88891,19944.25054,12.88566452,0.30731493,327.0175091,0.04614556,50.0270809,4.544086536,5888.69158,3.905555822,1.663058872,0.013450291,3.012474568,0.220592321,13492.13118,53.48329872,0.987014093,0.987014093,200823591.4,12549.0787,4.357041645,0.000406809,8.277571032,0.367108735,0.288126719,0.001861915,13525.86075,214.1007094,51536.94066,5.88436415,53.48329872,2.550930948,-0.407114827,0.992604811,0.983705147,0.999218275,abnormal
0.073800189,23.04279554,14542.71917,23353.28051,17.59285451,0.32154255,121.188212,0.029547237,6.368846873,6.747557347,3228.470672,4.82238758,1.855407156,0.082634737,2.875806714,0.212768027,21892.82294,111.7551545,0.975951914,0.975951914,241290626.7,76078.78899,6.047070946,0.000360941,8.617995845,0.320064838,0.240194757,0.007852875,21953.21081,280.1795089,84401.90181,5.91793291,111.7551545,2.847782131,-0.354572051,0.987573434,0.977819021,0.998416974,abnormal
0.133970812,11.32052262,2363.2134,5069.759182,4.362094074,0.387849632,900.1645841,0.060976276,100.9375814,3.979372478,10191.84716,3.300622791,0.662322694,-0.128002566,2.664640175,0.344160431,7962.024327,24.42334218,0.98414117,0.98414117,30004550.98,-6446.27833,2.913074697,0.001079547,7.36704999,0.434955217,0.362225635,0.004696709,7973.666748,169.7592104,30083.76229,5.352911508,24.42334218,2.184254529,-0.422042978,0.990173835,0.988961116,0.999636368,abnormal
0.077672929,19.32723723,1345.675887,2646.580415,4.554779825,0.337891287,234.5249575,0.031049935,15.09251017,6.137531858,4641.182034,4.31859568,1.104086503,-0.109181932,2.717288439,0.263267989,16109.78438,77.80039291,0.970776068,0.970776068,71902277.16,-49810.75977,4.37163638,0.000560768,7.944364423,0.389174802,0.313705614,0.001927104,16156.62822,243.4553205,61791.01922,5.664290447,77.80039291,2.508685667,-0.405238747,0.991053282,0.983919684,0.998891819,abnormal
0.213465244,7.574701197,579.3496001,1427.690566,2.31226929,0.377270964,638.7459665,0.104288175,127.3270127,2.491995742,3967.407152,2.564678098,0.528066486,0.977942619,3.592043592,0.420161617,3972.268126,40.65086542,0.961356652,0.961356652,18958507.5,114652.1726,2.871759589,0.002231721,6.861883126,0.495366204,0.433321537,0.009698772,3995.449835,117.7552787,14767.83015,5.04142742,40.65086542,2.109397727,-0.431572501,0.988338399,0.98932439,0.99940094,abnormal
0.152773455,19.88311282,7300.353991,6478.964373,11.3014606,0.412543135,246.4385865,0.072099328,62.27208471,7.410390766,3051.406681,3.8825316,3.649566083,0.599448867,2.250880359,0.171136991,15746.47818,184.1663899,0.980246117,0.980246117,742462677.9,1473495.398,5.986472059,0.000574952,8.519832136,0.37177645,0.298649232,0.012832276,15868.12766,211.4643585,60655.18822,6.032412103,184.1663899,2.751991202,-0.405925835,0.993374016,0.978761108,0.99758899,abnormal
0.081609105,23.18057246,5605.537406,4378.649866,11.02774068,0.504794742,21.53216648,0.051625454,1.197181287,10.53485981,502.4279403,4.77386873,1.625078807,-0.073507084,2.892119554,0.225752233,20878.15999,707.5291409,0.826638097,0.826638097,154029830.1,40655.77236,15.18190879,0.000192601,9.123618637,0.227837802,0.159619754,0.001262045,21200.32756,277.0669578,81021.69827,5.83342769,707.5291409,3.691439272,-0.236064918,0.955008429,0.948974609,0.990492745,abnormal
0.12546272,21.08812419,3278.877975,2281.121305,8.243909129,0.479614797,28.91116474,0.072688926,2.394172677,9.140924188,708.2277747,4.495696342,2.720642223,-0.130085802,2.162446527,0.164604825,19730.07254,661.394365,0.907280257,0.907280257,397686063.8,-154270.2845,13.15337174,0.000173824,9.116516571,0.253926565,0.183086026,0.002182073,20069.21443,256.8685575,76492.62058,6.08500302,661.394365,3.512544458,-0.314150928,0.982725855,0.955964865,0.991654476,abnormal
0.131051104,17.84978322,8866.559598,6196.044098,14.17350075,0.508318996,23.92428098,0.079843318,2.692758286,8.26996153,371.0802968,3.976941281,2.157608591,0.248332672,2.407598701,0.187105863,14947.01617,63.39862647,0.912559533,0.912559533,11819841,-67967.8213,4.846865176,0.001309507,7.295777562,0.356168552,0.277871541,0.00547037,14973.78141,241.7951191,57505.09614,4.901656437,63.39862647,2.649939382,-0.276787607,0.950410219,0.981944759,0.999053091,abnormal
